Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,Precip (in),qc,Air Temp (F),qc
227,Plymouth,Sierra Foothill,1/1/2023,0100,001,0.00, ,46.3, 
227,Plymouth,Sierra Foothill,1/1/2023,0200,001,0.00, ,46.5, 
227,Plymouth,Sierra Foothill,1/1/2023,0300,001,0.00, ,46.4, 
227,Plymouth,Sierra Foothill,1/1/2023,0400,001,0.00, ,45.7, 
227,Plymouth,Sierra Foothill,1/1/2023,0500,001,0.00, ,44.3, 
227,Plymouth,Sierra Foothill,1/1/2023,0600,001,0.00, ,42.2, 
227,Plymouth,Sierra Foothill,1/1/2023,0700,001,0.00, ,40.2, 
227,Plymouth,Sierra Foothill,1/1/2023,0800,001,0.00, ,39.1, 
227,Plymouth,Sierra Foothill,1/1/2023,0900,001,0.00, ,43.2, 
227,Plymouth,Sierra Foothill,1/1/2023,1000,001,0.00, ,49.1, 
227,Plymouth,Sierra Foothill,1/1/2023,1100,001,0.00, ,46.8, 
227,Plymouth,Sierra Foothill,1/1/2023,1200,001,0.00, ,47.1, 
227,Plymouth,Sierra Foothill,1/1/2023,1300,001,0.00, ,51.0, 
227,Plymouth,Sierra Foothill,1/1/2023,1400,001,0.00, ,54.0, 
227,Plymouth,Sierra Foothill,1/1/2023,1500,001,0.00, ,55.4, 
227,Plymouth,Sierra Foothill,1/1/2023,1600,001,0.00, ,56.7, 
227,Plymouth,Sierra Foothill,1/1/2023,1700,001,0.00, ,53.1, 
227,Plymouth,Sierra Foothill,1/1/2023,1800,001,0.00, ,47.8, 
227,Plymouth,Sierra Foothill,1/1/2023,1900,001,0.00, ,48.7, 
227,Plymouth,Sierra Foothill,1/1/2023,2000,001,0.00, ,43.9, 
227,Plymouth,Sierra Foothill,1/1/2023,2100,001,0.00, ,39.6, 
227,Plymouth,Sierra Foothill,1/1/2023,2200,001,0.00, ,39.2, 
227,Plymouth,Sierra Foothill,1/1/2023,2300,001,0.00, ,37.6, 
227,Plymouth,Sierra Foothill,1/1/2023,2400,001,0.00, ,36.3, 
227,Plymouth,Sierra Foothill,1/2/2023,0100,002,0.00, ,39.6, 
227,Plymouth,Sierra Foothill,1/2/2023,0200,002,0.00, ,38.4, 
227,Plymouth,Sierra Foothill,1/2/2023,0300,002,0.00, ,35.7, 
227,Plymouth,Sierra Foothill,1/2/2023,0400,002,0.00, ,34.9, 
227,Plymouth,Sierra Foothill,1/2/2023,0500,002,0.00, ,36.3, 
227,Plymouth,Sierra Foothill,1/2/2023,0600,002,0.00, ,40.2, 
227,Plymouth,Sierra Foothill,1/2/2023,0700,002,0.00, ,40.7, 
227,Plymouth,Sierra Foothill,1/2/2023,0800,002,0.00, ,38.4, 
227,Plymouth,Sierra Foothill,1/2/2023,0900,002,0.00, ,39.8, 
227,Plymouth,Sierra Foothill,1/2/2023,1000,002,0.00, ,44.7, 
227,Plymouth,Sierra Foothill,1/2/2023,1100,002,0.00, ,45.9, 
227,Plymouth,Sierra Foothill,1/2/2023,1200,002,0.00, ,47.0, 
227,Plymouth,Sierra Foothill,1/2/2023,1300,002,0.00, ,47.0, 
227,Plymouth,Sierra Foothill,1/2/2023,1400,002,0.00, ,47.8, 
227,Plymouth,Sierra Foothill,1/2/2023,1500,002,0.04, ,46.0, 
227,Plymouth,Sierra Foothill,1/2/2023,1600,002,0.17, ,41.6, 
227,Plymouth,Sierra Foothill,1/2/2023,1700,002,0.11, ,39.0, 
227,Plymouth,Sierra Foothill,1/2/2023,1800,002,0.08, ,38.3, 
227,Plymouth,Sierra Foothill,1/2/2023,1900,002,0.06, ,38.2, 
227,Plymouth,Sierra Foothill,1/2/2023,2000,002,0.10, ,38.1, 
227,Plymouth,Sierra Foothill,1/2/2023,2100,002,0.02, ,38.2, 
227,Plymouth,Sierra Foothill,1/2/2023,2200,002,0.01, ,39.5, 
227,Plymouth,Sierra Foothill,1/2/2023,2300,002,0.00, ,40.3, 
227,Plymouth,Sierra Foothill,1/2/2023,2400,002,0.00, ,39.6, 
227,Plymouth,Sierra Foothill,1/3/2023,0100,003,0.00, ,39.8, 
227,Plymouth,Sierra Foothill,1/3/2023,0200,003,0.00, ,40.9, 
227,Plymouth,Sierra Foothill,1/3/2023,0300,003,0.00, ,41.5, 
227,Plymouth,Sierra Foothill,1/3/2023,0400,003,0.02, ,41.3, 
227,Plymouth,Sierra Foothill,1/3/2023,0500,003,0.00, ,41.6, 
227,Plymouth,Sierra Foothill,1/3/2023,0600,003,0.00, ,42.1, 
227,Plymouth,Sierra Foothill,1/3/2023,0700,003,0.00, ,42.9, 
227,Plymouth,Sierra Foothill,1/3/2023,0800,003,0.00, ,43.2, 
227,Plymouth,Sierra Foothill,1/3/2023,0900,003,0.00, ,43.1, 
